yyyy-mm-dd,Yield,pr_rcp45,tasmax_rcp45,tasmin_rcp45,rsds_rcp45,pr_rcp85,tasmax_rcp85,tasmin_rcp85,rsds_rcp85
3/15/2006,57,79.830528,283.428711,274.478088,136.749817,47.603092,281.107208,271.759888,166.056717
4/15/2006,57,63.800259,288.203705,276.900177,215.31575,62.436852,285.372498,275.446594,228.749527
5/15/2006,57,110.63282,292.888641,280.606323,242.814774,24.181265,297.508179,282.733582,296.285065
6/15/2006,57,89.397804,298.957642,287.006439,280.44223,54.151382,299.045471,286.518524,302.424927
7/15/2006,57,106.014313,301.555725,289.472229,292.523468,89.040131,300.426361,289.680023,287.884583
8/15/2006,57,68.303459,299.649078,287.937378,271.489838,79.628578,298.7659,287.665009,248.570755
9/15/2006,57,64.791176,296.607971,285.397949,189.938385,62.02124,296.869232,285.374481,193.173737
10/15/2006,57,87.671448,289.751801,278.600037,134.219788,83.629097,289.488403,279.066925,122.730446
3/15/2007,56,98.417603,278.083038,268.667267,159.715408,44.16597,279.512848,270.166443,161.658768
4/15/2007,56,63.526821,286.020538,275.763733,235.33812,154.029465,286.446106,276.325378,189.608887
5/15/2007,56,102.687508,293.207153,281.613708,254.971191,48.289047,297.979706,285.605469,271.103363
6/15/2007,56,56.968857,301.063843,288.658691,285.861542,55.299858,301.295044,287.858002,318.151459
7/15/2007,56,64.21685,302.722992,290.469421,296.84256,68.44223,303.903107,291.090088,305.904572
8/15/2007,56,80.315613,300.455994,288.900787,265.963776,14.089026,307.027557,290.985321,303.081787
9/15/2007,56,35.263435,297.148376,285.602051,195.685257,62.361862,297.556091,284.796753,216.0914
10/15/2007,56,65.647934,290.737762,279.96521,122.420715,58.052078,291.476227,280.295593,134.449814
3/15/2008,73,31.37944,280.717255,271.735413,155.17366,107.65374,281.786255,272.735535,144.163452
4/15/2008,73,74.522011,286.903717,277.11441,200.109665,120.067657,285.564575,275.611694,259.025757
5/15/2008,73,51.766171,294.596344,280.587708,300.473907,35.189445,293.120117,281.482788,290.621124
6/15/2008,73,118.629723,297.139984,286.290344,264.036804,48.928173,300.536438,288.809937,309.114319
7/15/2008,73,66.232353,301.719513,290.770874,288.902008,69.351898,301.006958,290.094391,300.707733
8/15/2008,73,35.357918,299.133484,288.551453,270.546539,104.349991,302.00119,291.19278,251.423279
9/15/2008,73,76.560753,297.750061,286.220642,179.648209,162.18013,295.299957,285.589722,192.955307
10/15/2008,73,173.508896,289.852783,280.039154,116.255203,63.593296,290.030731,280.669861,125.609016
3/15/2009,40,81.297256,281.159851,270.817993,162.104324,21.275524,277.834625,269.621246,157.995331
4/15/2009,40,178.599747,284.805817,274.829559,190.308762,104.998825,285.894196,275.999695,188.952896
5/15/2009,40,71.063332,293.893524,281.00946,282.498444,52.126087,293.912476,282.779846,277.765686
6/15/2009,40,63.11153,299.737183,287.403534,310.513794,71.611786,300.981995,288.129272,316.063385
7/15/2009,40,57.065716,300.52536,289.833832,284.390991,71.936836,302.216705,290.952606,294.027618
8/15/2009,40,78.927635,302.021423,289.717346,262.519501,61.910648,301.776917,289.39505,281.994141
9/15/2009,40,56.108234,295.791412,283.374908,209.856598,82.355278,299.241821,286.17746,200.22789
10/15/2009,40,74.248756,288.971924,278.699738,126.930214,81.508545,289.477997,280.265717,115.174301
3/15/2010,70,83.687263,283.905304,272.183746,145.600189,54.075733,280.026337,270.884644,173.160645
4/15/2010,70,80.336479,289.237885,277.457397,223.349258,69.032204,286.164948,275.341919,209.730804
5/15/2010,70,54.718727,293.164307,280.698975,271.007935,60.220337,292.562744,281.696289,244.309387
6/15/2010,70,43.812157,301.993744,289.123474,307.844635,76.770805,298.476044,287.53064,276.048157
7/15/2010,70,41.85601,304.624939,290.633636,320.573303,53.797165,302.954895,290.600403,306.488586
8/15/2010,70,57.198917,303.409363,291.314026,249.410599,135.261551,298.240662,288.783936,237.831802
9/15/2010,70,68.051598,294.063263,283.433624,196.809372,23.470974,295.880463,284.908295,201.503494
10/15/2010,70,39.429901,292.15332,280.543793,125.235886,57.414253,291.182526,280.180237,135.941788
3/15/2011,61,29.377588,276.717377,269.044189,168.930023,60.420238,279.706055,270.578827,156.392014
4/15/2011,61,28.045553,289.701477,277.449615,260.872833,95.370125,288.312073,277.118805,211.787735
5/15/2011,61,51.18956,293.88504,282.189545,280.012604,64.138489,295.147736,281.020782,293.032532
6/15/2011,61,70.181778,300.236786,288.35318,295.579254,50.312885,301.295441,289.473114,298.635193
7/15/2011,61,38.050568,305.021454,290.297791,307.143036,48.144562,304.096893,291.622986,299.196075
8/15/2011,61,47.854542,304.891693,290.735229,275.198608,37.246601,303.238922,290.220398,282.176514
9/15/2011,61,42.288052,298.297089,285.803925,202.897003,61.648472,300.024902,286.469788,207.775146
10/15/2011,61,67.4244,292.111481,280.338196,129.29216,48.907009,291.382843,279.630951,126.829178
3/15/2012,65,72.572647,279.164368,270.453461,167.781235,52.571003,284.423676,274.99057,158.169373
4/15/2012,65,56.030205,290.139465,278.048553,228.145508,149.647949,284.941681,275.357574,205.353455
5/15/2012,65,43.473015,295.503143,284.084229,292.530975,118.128181,291.501587,280.826996,251.595718
6/15/2012,65,58.241764,302.190979,289.617645,313.146667,106.399643,299.610931,287.914032,304.820343
7/15/2012,65,47.698513,301.193665,290.292419,291.095856,87.957901,302.62088,290.97937,288.529327
8/15/2012,65,71.937111,298.8862,289.222107,246.791077,44.093987,301.01004,289.837189,267.330292
9/15/2012,65,101.954414,295.125305,285.366577,188.750153,86.788689,295.437531,285.652985,184.27919
10/15/2012,65,46.70163,289.92981,280.169281,124.432709,24.871344,289.707336,279.364319,134.07692
3/15/2013,55,68.224419,278.044983,269.372192,153.685837,52.704796,281.7901,271.825226,159.547195
4/15/2013,55,47.855656,288.988464,277.483856,219.266937,87.948166,285.516998,275.875458,204.201614
5/15/2013,55,52.328445,296.162506,283.254852,282.228668,51.443966,291.883118,281.139191,257.228394
6/15/2013,55,95.667511,300.696106,289.447662,294.696228,61.632793,301.807831,289.15799,310.132141
7/15/2013,55,49.109749,301.603729,289.480774,305.474182,63.88446,302.82486,289.824646,316.419464
8/15/2013,55,148.427689,299.229401,288.403717,248.610138,58.778183,300.428375,289.234558,259.054443
9/15/2013,55,95.599403,298.077606,286.658264,185.964432,93.058846,296.171356,284.810028,197.211334
10/15/2013,55,102.623184,288.840424,279.548401,109.218781,83.489273,289.477692,278.834198,135.352142
3/15/2014,63,106.750511,279.865356,271.45929,152.887955,60.383083,283.187653,271.868286,184.929321
4/15/2014,63,92.282028,288.78006,278.277466,213.483948,71.094147,289.499603,278.244904,206.209259
5/15/2014,63,62.121433,296.110229,282.708069,275.660065,29.779041,297.118134,282.649323,306.990692
6/15/2014,63,131.021805,301.503845,288.533142,299.130798,72.353607,300.996277,289.121002,291.875916
7/15/2014,63,110.452751,298.524445,287.972137,299.36557,53.428066,303.231445,291.009491,313.10968
8/15/2014,63,66.417946,301.106232,289.49292,260.542511,109.336205,301.283295,289.872345,252.4039
9/15/2014,63,113.925201,295.180023,284.78067,173.192184,143.806259,298.242065,287.449158,179.395645
10/15/2014,63,102.405853,288.805847,278.616577,128.797638,34.835125,288.937866,278.105774,135.170242
3/15/2015,65,63.186733,279.341431,271.308472,159.473404,61.157635,275.3638,267.956635,171.87178
4/15/2015,65,90.596428,287.569122,276.926422,213.426941,66.995659,287.699036,276.870514,207.944916
5/15/2015,65,66.938828,296.786682,282.554321,299.907074,67.51757,293.1521,282.518433,262.800262
6/15/2015,65,74.771782,295.985779,285.211151,297.066742,68.799225,298.227509,286.528351,305.583221
7/15/2015,65,117.400452,300.897217,290.156677,282.35434,74.75444,301.394836,289.738434,299.429138
8/15/2015,65,90.306007,300.425781,289.187256,256.992004,93.750015,300.710388,289.542725,252.434921
9/15/2015,65,92.253876,296.879028,286.829224,174.529282,95.306549,297.106415,286.157166,197.574417
10/15/2015,65,96.013191,288.38443,279.799194,101.896049,74.221992,289.026581,278.887146,132.814636
3/15/2016,70,45.362885,284.502045,274.255951,155.129333,103.740929,278.377625,268.822266,179.594025
4/15/2016,70,51.935722,290.229309,278.25885,236.165253,78.829193,290.81192,277.838074,244.097916
5/15/2016,70,78.320938,292.858429,280.614777,268.382599,79.863075,292.595825,281.30835,241.509598
6/15/2016,70,85.786575,298.708679,286.696167,297.621094,102.716438,298.234161,287.233246,293.215332
7/15/2016,70,53.964989,301.691803,290.187042,303.74292,77.478966,302.68985,291.366394,303.734436
8/15/2016,70,106.575966,302.184662,290.343933,260.8526,100.238564,301.420471,289.826843,255.899567
9/15/2016,70,103.490738,296.445435,284.67807,197.254745,35.383266,296.218719,284.275879,215.318924
10/15/2016,70,40.846455,290.02359,280.41095,128.746262,81.227707,291.157196,280.027863,126.870659
3/15/2017,73,88.092133,276.575348,268.198669,161.881607,37.95467,278.576721,269.844543,168.557388
4/15/2017,73,73.364807,287.28299,276.984314,206.774475,42.390675,290.882172,279.332489,215.801697
5/15/2017,73,30.535612,292.475494,280.821381,291.713257,43.023052,295.565826,283.595703,256.396851
6/15/2017,73,84.304214,301.444763,288.562836,307.55307,74.700249,301.095306,288.252106,298.406769
7/15/2017,73,65.637833,302.074768,290.57663,298.864288,78.226212,302.148315,290.006317,308.518982
8/15/2017,73,60.845528,300.323151,288.525574,270.786377,52.717495,302.010071,289.331573,277.513672
9/15/2017,73,127.394257,296.033752,285.272827,180.426132,93.010612,295.775391,285.144928,200.983597
10/15/2017,73,82.122314,287.86554,279.061615,117.105713,73.980728,289.606293,279.886932,111.148048
3/15/2018,80,68.930031,284.008209,273.451996,160.636841,113.537376,283.430664,274.049591,132.156876
4/15/2018,80,133.885056,285.419647,275.425262,195.946487,108.174889,287.126465,276.722168,179.78952
5/15/2018,80,28.530174,293.769745,281.147827,284.397766,51.872234,297.193024,284.885742,268.730682
6/15/2018,80,125.733482,299.420563,288.799377,289.81897,77.615143,298.304535,286.632843,291.884277
7/15/2018,80,67.868271,301.684296,290.628326,282.287476,73.93248,304.265961,292.771912,294.454102
8/15/2018,80,150.823044,299.984253,290.054047,234.715103,96.489166,301.412354,289.96994,252.638336
9/15/2018,80,55.334194,299.510284,286.054871,213.815125,82.616562,295.157043,285.143677,193.808182
10/15/2018,80,125.918953,290.36734,280.595673,118.819191,177.961182,290.739532,279.544037,125.920372
3/15/2021,,79.971169,280.06012,270.543549,162.510208,74.924049,280.546173,270.410889,170.018768
4/15/2021,,87.859535,292.045837,279.678864,219.988083,104.674889,286.277679,275.956024,194.393173
5/15/2021,,68.793037,295.621948,281.645599,294.276764,106.249329,292.745148,281.531982,261.773407
6/15/2021,,153.609894,300.414246,287.953217,285.952972,40.347393,300.917328,288.333862,308.929108
7/15/2021,,141.652283,303.088837,292.927979,255.029068,86.774628,303.427612,290.533722,320.380219
8/15/2021,,49.077099,300.118896,288.922607,274.78009,44.78809,302.124695,289.60611,282.990173
9/15/2021,,53.851799,296.534973,284.777924,198.788162,125.398247,294.968384,284.476532,181.310379
10/15/2021,,75.474808,289.0979,278.580475,134.464355,82.610252,291.173889,280.755676,118.707916
3/15/2022,,83.309135,280.872986,271.138306,167.036789,74.780128,277.674225,270.300659,152.205887
4/15/2022,,88.375603,286.455963,276.688568,206.543045,45.266418,288.647827,276.944519,240.728699
5/15/2022,,27.75914,294.847534,281.67804,304.747192,65.165283,297.383026,285.026428,270.171265
6/15/2022,,87.969864,298.518921,286.802887,284.359863,68.447327,300.743591,287.879517,305.826965
7/15/2022,,96.29203,300.349274,290.156342,279.129364,64.267601,302.586456,290.431183,304.880493
8/15/2022,,121.8339,298.309265,289.050385,226.46347,110.241791,300.781158,290.431763,248.285049
9/15/2022,,221.053848,292.43576,284.006042,136.95192,76.275505,297.818268,287.589325,183.232178
10/15/2022,,152.812958,289.698303,279.639252,118.272308,65.297485,286.894226,277.331238,122.467545
3/15/2023,,79.29631,275.522675,267.687836,168.052185,24.911869,282.859222,271.55368,178.713287
4/15/2023,,80.486351,285.070648,275.498352,204.078018,45.309517,285.776001,274.292145,235.679993
5/15/2023,,66.740746,296.95636,284.951538,258.480469,58.347317,293.630341,281.215698,281.450134
6/15/2023,,34.595455,302.981598,289.130493,317.012604,103.957825,296.938782,286.437622,253.962555
7/15/2023,,53.222248,303.256683,289.865234,318.760834,141.94931,301.954895,290.902924,287.815216
8/15/2023,,127.166634,300.42926,289.619934,252.205597,131.041992,300.496643,289.674957,250.383011
9/15/2023,,35.220299,295.804718,285.024628,189.933655,125.281174,296.689728,286.521454,188.446884
10/15/2023,,136.44841,286.021637,277.884613,113.151268,85.720673,293.078827,281.652893,118.313499
3/15/2024,,57.900791,283.271271,272.646301,151.514648,98.321442,282.224487,272.769073,152.597473
4/15/2024,,67.604973,287.911621,276.955414,208.047195,60.280804,289.007385,277.772308,208.914307
5/15/2024,,45.14394,294.791901,282.252594,267.279938,56.86282,293.097198,281.521118,258.861938
6/15/2024,,75.935455,303.688324,289.273834,323.959198,80.714729,296.140778,284.764832,303.444519
7/15/2024,,65.75856,303.659271,290.553619,306.934967,88.935989,301.403168,289.563751,285.733154
8/15/2024,,44.606487,302.445557,289.071411,290.6474,90.220268,301.60611,289.71756,264.069397
9/15/2024,,45.844875,302.298828,287.764679,203.00383,154.407318,297.856079,288.243042,166.855164
10/15/2024,,141.678192,290.883759,280.499817,110.588326,125.983444,292.773376,281.177185,124.295975
3/15/2025,,30.435236,285.048462,274.190979,186.381622,25.723503,285.032349,274.345306,156.663101
4/15/2025,,39.659885,287.039764,277.248322,200.56694,140.807205,287.410919,276.807709,209.389786
5/15/2025,,108.969437,294.626251,281.459625,268.03894,50.155289,297.47934,283.908997,286.807159
6/15/2025,,121.241364,299.626678,287.119537,291.886383,152.399048,297.93338,287.007446,286.152374
7/15/2025,,83.786575,302.764435,290.646393,296.459686,98.310402,301.088287,291.139496,272.431915
8/15/2025,,64.990364,299.989319,289.118195,270.061493,49.285122,303.402069,290.787018,279.731964
9/15/2025,,118.433868,295.733215,284.690857,195.706696,100.765686,299.1203,287.821167,192.170441
10/15/2025,,102.291771,291.572418,280.775391,117.882561,48.151749,291.742828,280.572571,135.393494
3/15/2026,,82.696915,284.270386,274.499756,151.599213,76.906937,286.720032,274.529877,160.574005
4/15/2026,,119.74337,287.07782,276.611664,213.553726,90.043533,289.167297,277.201111,200.186371
5/15/2026,,56.063984,294.835541,282.165802,265.614197,82.957672,295.643311,282.866211,260.312775
6/15/2026,,57.470821,299.782257,287.082489,315.011414,51.194366,301.502472,288.335419,318.679626
7/15/2026,,157.254364,299.469299,289.242371,280.851654,90.842354,304.009979,291.423492,295.79837
8/15/2026,,184.856964,300.242401,289.892548,234.269333,130.470978,300.008942,289.902893,244.254684
9/15/2026,,135.216003,296.434082,285.671448,188.195145,65.577888,298.360046,287.264709,191.215073
10/15/2026,,122.817177,291.190338,280.341583,119.486755,76.454659,290.467957,279.852417,123.18232
3/15/2027,,69.205589,285.938385,276.385437,141.779617,75.259956,279.825836,270.235138,166.558655
4/15/2027,,59.253262,285.886993,274.529388,229.492172,87.386475,285.27005,274.693298,218.283127
5/15/2027,,146.144485,293.662231,281.601685,240.202072,68.91584,293.82962,282.393921,276.859772
6/15/2027,,70.443275,299.090942,287.444397,273.814545,118.042252,299.491302,287.542938,294.971771
7/15/2027,,130.64566,301.781677,290.046265,299.737244,72.232513,301.763214,290.372162,303.582703
8/15/2027,,58.353924,301.282318,289.487305,260.916656,37.919582,302.889191,290.495514,276.447845
9/15/2027,,132.808929,297.520294,286.93573,172.231827,101.496109,297.840424,286.499451,191.284424
10/15/2027,,15.930605,290.650024,279.368805,131.521469,64.052864,291.415314,279.985046,134.710373
3/15/2028,,65.813736,282.831146,272.546265,167.348907,38.905857,281.618988,270.117615,172.385254
4/15/2028,,64.274185,290.073425,277.522369,235.898117,111.936264,285.871368,274.732635,206.966888
5/15/2028,,26.866081,294.605774,280.842163,305.940277,25.979061,291.782349,280.740509,262.156738
6/15/2028,,61.855042,301.340698,287.859436,302.994629,32.39481,300.180939,287.348572,311.847595
7/15/2028,,31.042948,303.551575,289.499817,315.985474,44.406166,302.703217,289.651123,321.944244
8/15/2028,,78.40329,302.282684,289.748077,274.634583,110.17794,305.136932,291.125732,283.361145
9/15/2028,,214.849075,295.990417,285.848297,161.488571,201.881287,298.664215,288.002899,167.406494
10/15/2028,,64.732155,292.488037,280.930359,128.925751,66.889297,290.627319,278.749084,147.539825
3/15/2029,,66.622559,282.248077,274.170074,125.751114,81.564026,281.839996,272.339264,144.511353
4/15/2029,,66.335327,287.189972,276.775055,214.853317,130.350555,288.115875,276.295349,241.651413
5/15/2029,,61.616261,293.106079,282.210297,259.650604,52.235249,296.107635,285.055359,243.201157
6/15/2029,,72.849937,300.765411,287.291473,294.704987,50.779617,300.261749,288.94635,312.685394
7/15/2029,,81.294228,302.026947,291.566742,280.462463,87.946159,303.456696,291.81424,305.332031
8/15/2029,,104.204422,300.986115,289.068329,265.280151,128.229721,302.576843,291.492065,254.960556
9/15/2029,,47.550442,296.843384,284.86026,204.606308,89.566193,297.904327,286.653656,202.982498
10/15/2029,,53.920223,289.674286,278.6409,136.949814,45.463654,288.317841,279.240875,128.630463
3/15/2030,,42.586048,282.931305,273.852417,165.403259,39.954063,280.410889,271.515656,168.642151
4/15/2030,,120.953651,283.56546,274.825531,176.592087,83.200287,289.713379,279.098358,217.427841
5/15/2030,,44.529686,292.77301,280.791016,266.848419,29.815586,292.05899,281.009247,284.261017
6/15/2030,,47.576878,300.285126,287.287445,319.099457,43.286674,300.463593,288.146851,310.129883
7/15/2030,,80.362961,305.28186,291.744843,310.500366,44.785446,306.027557,291.170044,327.15448
8/15/2030,,82.322037,300.85733,289.270447,274.794159,95.333702,304.781952,291.613617,278.314453
9/15/2030,,58.108105,295.71344,284.680786,199.386856,101.234352,297.679382,286.759827,194.271881
10/15/2030,,29.750122,288.820312,278.80896,124.845512,43.568222,293.202698,280.813629,139.839447
3/15/2031,,16.808172,281.354187,272.565582,167.72525,47.934666,279.569763,270.242157,162.34697
4/15/2031,,118.683517,287.886505,277.471619,214.247589,88.544029,287.063995,277.27356,194.325195
5/15/2031,,62.235931,293.867493,281.259186,267.602112,77.989021,295.688293,283.079773,271.74408
6/15/2031,,116.974525,299.135345,287.496643,269.477234,91.578369,302.526642,289.778259,293.269684
7/15/2031,,68.658516,301.456726,290.043976,302.20401,148.530212,302.778015,291.375275,283.678711
8/15/2031,,110.701454,301.57489,289.595917,265.018738,108.656281,302.265564,291.09082,267.041809
9/15/2031,,56.597431,296.845367,285.424957,200.485046,112.705376,296.891296,286.02771,194.506744
10/15/2031,,54.814957,289.418823,278.59613,138.209732,78.052689,285.179657,277.956818,111.34964
